workload,group,stage,n,p50_ms,p95_ms,raw_ms,calls
main,local_modified,native.close,5,1920.8079,1960.82708,"[1898.4355, 1963.5138, 1920.8079, 1893.5355, 1950.0802]","[7, 7, 7, 7, 7]"
main,local_modified,native.execute,5,22935.5344,24971.527380000003,"[24080.2305, 22217.9176, 22935.5344, 22376.9914, 25194.3516]","[1, 1, 1, 1, 1]"
main,local_modified,native.feature_com,5,4052.5755,6249.54616,"[4052.5755, 4050.0501, 4043.1655, 4132.3387999999995, 6778.848]","[4, 4, 4, 4, 4]"
main,local_modified,native.inspect,5,15268.7556,15431.0054,"[15467.2837, 15113.6049, 15285.892199999998, 15268.7556, 15147.5839]","[3, 3, 3, 3, 3]"
main,local_modified,native.open,5,7582.0585,7745.88632,"[7774.3808, 7525.9636, 7440.8556, 7631.9084, 7582.0585]","[5, 5, 5, 5, 5]"
main,local_modified,native.projection,5,4172.2011,5062.906679999999,"[4133.3478, 5272.4373, 4172.2011, 4054.8702, 4224.7842]","[1, 1, 1, 1, 1]"
main,local_modified,native.rebuild,5,645.5671,659.57014,"[654.9146999999999, 639.1828, 660.734, 635.5071, 645.5671]","[5, 5, 5, 5, 5]"
main,local_modified,native.save,5,607.6042,618.04458,"[619.0938, 594.6037, 602.8318, 607.6042, 613.8477]","[3, 3, 3, 3, 3]"
main,local_modified,native.section,5,2211.0145,2230.08026,"[2187.9229, 2214.4965, 2138.8921, 2211.0145, 2233.9762]","[1, 1, 1, 1, 1]"
main,local_modified,native.source_verification,5,503.8917,523.49364,"[498.757, 484.3604, 518.5558, 524.7281, 503.8917]","[3, 3, 3, 3, 3]"
main,local_modified,plan.compile,5,0.1807,0.22977999999999998,"[0.1889, 0.141, 0.24, 0.1748, 0.1807]","[1, 1, 1, 1, 1]"
main,local_modified,review.projection,5,0.1501,0.19563999999999998,"[0.2029, 0.1416, 0.1198, 0.1501, 0.1666]","[3, 3, 3, 3, 3]"
main,local_modified,review.section,5,2.7592,2.8798,"[2.8942, 2.6772, 2.5109, 2.7592, 2.8222]","[3, 3, 3, 3, 3]"
review_repair,fresh,native.close,5,6835.9179,6890.76976,"[6766.9145, 6837.4796, 6772.5741, 6904.0923, 6835.9179]","[29, 29, 29, 29, 29]"
review_repair,fresh,native.execute,5,21278.6741,21403.82678,"[21201.279300000002, 21410.3113, 21278.6741, 21233.795700000002, 21377.8887]","[3, 3, 3, 3, 3]"
review_repair,fresh,native.feature_com,5,6937.9304,7064.2310800000005,"[6817.8192, 7090.8166, 6957.889, 6922.7258, 6937.9304]","[12, 12, 12, 12, 12]"
review_repair,fresh,native.inspect,5,12732.0353,12839.23586,"[12575.046, 12780.5609, 12732.0353, 12678.228500000001, 12853.9046]","[7, 7, 7, 7, 7]"
review_repair,fresh,native.observation,5,1761.2574,1771.07744,"[1744.0052, 1761.2574, 1763.4964, 1772.9727, 1744.4346]","[1, 1, 1, 1, 1]"
review_repair,fresh,native.open,5,7401.5176,7424.09616,"[7334.461, 7427.5404, 7343.1026, 7410.3192, 7401.5176]","[17, 17, 17, 17, 17]"
review_repair,fresh,native.projection,5,15723.3945,16088.38908,"[15692.9044, 15723.3945, 15618.2654, 16155.2998, 15820.7462]","[9, 9, 9, 9, 9]"
review_repair,fresh,native.rebuild,5,536.7785,543.13462,"[532.1011, 536.7785, 536.1544, 543.6692, 540.9963]","[12, 12, 12, 12, 12]"
review_repair,fresh,native.save,5,869.4435,913.2588000000001,"[918.9608000000001, 867.9324, 856.7798, 890.4508000000001, 869.4435]","[6, 6, 6, 6, 6]"
review_repair,fresh,observation.decide,5,1801.058,1812.3014,"[1784.6000999999999, 1801.058, 1805.2562, 1814.0627000000002, 1784.6980999999998]","[3, 3, 3, 3, 3]"
review_repair,fresh,repair.prepare,5,4.5584,5.1878400000000005,"[4.5584, 4.76, 5.2948, 4.5329, 4.5002]","[1, 1, 1, 1, 1]"
review_repair,fresh,repair.validate,5,2.0217,2.194,"[2.0217, 2.2340999999999998, 2.0336, 1.8887, 1.9486999999999999]","[6, 6, 6, 6, 6]"
review_repair,fresh,review.coverage,5,7.6906,8.440280000000001,"[7.6034999999999995, 7.6906, 7.3607000000000005, 7.9834, 8.5545]","[2, 2, 2, 2, 2]"
review_repair,fresh,review.diff,5,1.5272,1.6895,"[1.4867, 1.6691, 1.6945999999999999, 1.5124, 1.5272]","[6, 6, 6, 6, 6]"
review_repair,fresh,review.projection,5,10.8626,11.30962,"[10.573, 10.4584, 10.8626, 11.0205, 11.3819]","[2, 2, 2, 2, 2]"
review_repair,warm,native.close,5,7049.8209,7204.8567,"[6869.5553, 7124.8911, 7049.8209, 6982.7575, 7224.8481]","[29, 29, 29, 29, 29]"
review_repair,warm,native.execute,5,21236.1949,21540.950979999998,"[21116.742599999998, 21381.3577, 21236.1949, 21217.6966, 21580.849299999998]","[3, 3, 3, 3, 3]"
review_repair,warm,native.feature_com,5,6943.1956,7137.1113000000005,"[6889.5433, 7081.0197, 6943.1956, 6898.966899999999, 7151.1342]","[12, 12, 12, 12, 12]"
review_repair,warm,native.inspect,5,12815.9949,13452.094360000001,"[12803.0227, 13253.2582, 12752.228000000001, 12815.9949, 13501.8034]","[7, 7, 7, 7, 7]"
review_repair,warm,native.observation,5,1766.8949,1778.24144,"[1772.8464, 1766.8949, 1765.3878, 1735.2113, 1779.5902]","[1, 1, 1, 1, 1]"
review_repair,warm,native.open,5,7637.0811,7804.6822,"[7637.0811, 7814.2694, 7474.0319, 7523.3568, 7766.3333999999995]","[17, 17, 17, 17, 17]"
review_repair,warm,native.projection,5,16203.8965,16712.597859999998,"[16043.1528, 16606.8297, 16024.9138, 16203.8965, 16739.0399]","[9, 9, 9, 9, 9]"
